DATE,TOTAL_POINTS
2022-05-10,78665082
2022-05-11,81144410
2022-05-12,86658616
2022-05-13,97294986
2022-05-14,102987546
2022-05-15,74102682
2022-05-16,91527023
2022-05-17,78437698
2022-05-18,82586013
2022-05-19,93553154
2022-05-20,102482389
2022-05-21,109372870
2022-05-22,76560138
2022-05-23,93824933
2022-05-24,85147772
2022-05-25,86892384
2022-05-26,94581074
2022-05-27,100383352
2022-05-28,104992920
2022-05-29,78575164
2022-05-30,109940386
2022-05-31,105825298
2022-06-01,118512157
2022-06-02,116025888
2022-06-03,101601642
2022-06-04,115421224
2022-06-05,78340796
2022-06-06,95150388
2022-06-07,78405594
2022-06-08,83480321
2022-06-09,88100636
2022-06-10,93141226
2022-06-11,103648658
2022-06-12,77338464
2022-06-13,91928658
2022-06-14,80951212
2022-06-15,88858842
2022-06-16,95072205
